1	717
1	1216
1	4450
1	4911
2	274
2	2286
2	2775
2	4681
3	509
3	1292
3	2836
3	4811
4	360
4	394
4	1521
4	4981
5	3982
5	4410
5	4682
5	4910
6	4033
6	4200
6	4205
6	4277
7	3763
7	4240
7	4540
7	4972
8	2204
8	4226
8	4274
8	4662
9	2397
9	3927
9	4630
9	4723
10	984
10	3867
10	4327
10	4331
11	1021
11	2960
11	4840
11	4846
12	1720
12	4259
12	4487
12	4929
13	3583
13	4285
13	4806
13	4952
14	3423
14	3510
14	3690
14	4594
15	3680
15	3813
15	4214
15	4878
16	3113
16	3217
16	4175
16	4841
17	3824
17	4400
17	4457
17	4769
18	4456
18	4946
18	4964
18	4976
19	4578
19	4656
19	4778
19	4913
20	2498
20	3765
20	4114
20	4483
21	2576
21	2931
21	4522
21	4965
22	1228
22	1769
22	3428
22	4742
23	3408
23	4753
23	4844
23	4952
24	3841
24	3932
24	4228
24	4728
25	732
25	4690
25	4975
25	4981
26	4732
26	4774
26	4862
26	4935
27	3687
27	4194
27	4724
27	4823
28	3980
28	4031
28	4796
28	4983
29	615
29	3389
29	3582
29	4701
30	1120
30	4026
30	4917
30	4923
31	2938
31	4339
31	4570
31	4625
32	702
32	4328
32	4696
32	4883
33	1793
33	2777
33	4054
33	4583
34	3855
34	4418
34	4450
34	4848
35	3781
35	4252
35	4674
35	4850
36	363
36	4555
36	4728
36	4797
37	2151
37	4660
37	4672
37	4722
38	895
38	2917
38	4835
38	4937
39	1121
39	4687
39	4853
39	4893
40	2605
40	3462
40	4743
40	4767
41	1901
41	4488
41	4497
41	4637
42	2270
42	3364
42	4659
42	4973
43	2952
43	3883
43	3998
43	4525
44	1719
44	4445
44	4702
44	4950
45	1951
45	2961
45	4554
45	4779
46	2257
46	3114
46	3465
46	4419
47	727
47	4297
47	4638
47	4798
48	2877
48	4851
48	4853
48	4893
49	1907
49	3555
49	4566
49	4979
50	2271
50	4015
50	4535
50	4735
51	4368
51	4746
51	4868
51	4959
52	1378
52	3821
52	4586
